Nr.,Kapitel,Deutsch,Suaheli
1,C4.1-Vok,schon / bereit,tayari
2,C4.1-Vok,noch nicht,bado
3,C4.1-Vok,entscheiden,kuamua
4,C4.1-Vok,lösen (ein Problem),kutatua
5,C4.1-Vok,hören,kusikia
6,C4.1-Vok,kaputt gehen / sein,kuharibika
7,C4.1-Vok,krank werden,kuugua
8,C4.1-Vok,rennen / weglaufen,kukimbia
9,C4.1-Vok,stellen / legen,kuweka
10,C4.1-Vok,deshalb / also,kwa hivyo
11,C4.1-Vok,Junge,mvulana
1,C4.1-1a,Ich habe gearbeitet (bin fertig).,Nimefanya kazi.
2,C4.1-1a,Du hast getrunken.,Umekunywa.
3,C4.1-1a,Er hat gekauft.,Amenunua.
4,C4.1-1a,Wir sind angekommen.,Tumefika.
5,C4.1-1a,Ihr habt geholfen.,Mmesaidia.
6,C4.1-1a,Sie sind gegangen.,Wamekwenda.
1,C4.1-1b,Das Auto ist kaputt (fertig).,Gari limeharibika.
2,C4.1-1b,Der Reis ist gekocht.,Wali umepikwa.
3,C4.1-1b,Ich bin müde (Resultat der Aktion).,Nimechoka.
4,C4.1-1b,Sie ist krank geworden.,Ameugua.
5,C4.1-1b,Habt ihr gegessen?,Mmekula?
6,C4.1-1b,Sind wir fertig?,Tumemaliza?
1,C4.1-1c,Ich habe seinen Bruder gesehen.,Nimemwona kaka yake.
2,C4.1-1c,Wir haben zwei Tische gekauft.,Tumenunua meza mbili.
3,C4.1-1c,Sie sind zum Haus gegangen.,Wamekwenda nyumbani.
4,C4.1-1c,Der Lehrer ist angekommen.,Mwalimu amefika.
5,C4.1-1c,Du hast die großen Augen gesehen.,Umeona macho makubwa.
6,C4.1-1c,Er hat das Wasser getrunken.,Amekunywa maji.
1,C4.1-2a,Ich habe noch nicht gearbeitet.,Sijafanya kazi.
2,C4.1-2a,Du bist noch nicht gegangen.,Hujaenda.
3,C4.1-2a,Er hat noch nicht gekauft.,Hajanunua.
4,C4.1-2a,Wir sind noch nicht angekommen.,Hatujafika.
5,C4.1-2a,Ihr habt noch nicht geholfen.,Hamjasaidia.
6,C4.1-2a,Sie haben noch nicht geredet.,Hawajaongea.
1,C4.1-2b,Das Essen ist noch nicht fertig.,Chakula hakijaisha.
2,C4.1-2b,Die Augen haben noch nicht gesehen.,Macho hayajaona.
3,C4.1-2b,Bist du schon müde?,Umechoka tayari?
4,C4.1-2b,Nein; ich bin noch nicht müde.,Hapana; sijachoka.
5,C4.1-2b,Wir haben nur zwei gekauft.,Tumenunua mbili tu.
6,C4.1-2b,Sie haben meinen Bruder noch nicht gesehen.,Hawajamwona kaka yangu.
1,C4.1-2c,Er hat das Geld noch nicht gegeben.,Hajatoa pesa.
2,C4.1-2c,Wir sind noch nicht in seinem Auto.,Hatujawa ndani ya gari lake.
3,C4.1-2c,Er ist krank geworden; deshalb ist er gegangen.,Ameugua; kwa hivyo amekwenda.
4,C4.1-2c,Ich habe noch nicht entschieden; was ich tun werde.,Sijaamua; nitafanya nini.
