Nr.,Kapitel,Deutsch,Suaheli
1,D1.1-Vok,Preis,Bei
2,D1.1-Vok,Kosten / Betragen,Kugharimu
3,D1.1-Vok,Senken / Reduzieren,Kupunguza
4,D1.1-Vok,Schilling (Währung),Shilingi
5,D1.1-Vok,Bezahlen,Kulipa
6,D1.1-Vok,Hundert,Mia
7,D1.1-Vok,Sagen / Erzählen,Kuambia
8,D1.1-Vok,Suchen,Kutafuta
9,D1.1-Vok,Bus,Basi
10,D1.1-Vok,Geradeaus,Moja kwa moja
11,D1.1-Vok,Wie?,Vipi?
12,D1.1-Vok,Sofort / Jetzt gleich,Sasa hivi
13,D1.1-Vok,Vor einer Weile / Lange her,Kitambo
14,D1.1-Vok,Fenster,Dirisha (ma-)
15,D1.1-Vok,Repariert/Gemacht werden,Kutengenezwa
16,D1.1-Vok,Verlieren,Kupoteza
17,D1.1-Vok,Bestohlen werden,Kuibiwa
18,D1.1-Vok,Licht / Helle,Nuru
19,D1.1-Vok,Zusammen,Pamoja
20,D1.1-Vok,Recht / Fair,Haki
21,D1.1-Vok,Beginnen,Kuanza
22,D1.1-Vok,Nett / Gutherzig,Mwema
1,D1.1-2a,Wie viel kostet dieses Brot?,Mkate huu ni bei gani?
2,D1.1-2a,Das kostet zehn Schilling.,Unagharimu shilingi kumi.
3,D1.1-2a,Ich brauche zwei Fische.,Ninahitaji samaki wawili.
4,D1.1-2a,Hast du fünf Eier gekauft?,Umenunua mayai matano?
5,D1.1-2a,Kannst du den Preis senken?,Unaweza kupunguza bei?
1,D1.1-2b,Wollen wir das hier kaufen?,Tununue hiki?
2,D1.1-2b,Das ist sehr teuer.,Hiki ni ghali sana.
3,D1.1-2b,Wir haben nicht genug Geld.,Hatuna pesa za kutosha.
4,D1.1-2b,Ich kaufe nur ein Brot.,Ninanunua mkate mmoja tu.
5,D1.1-2b,Er hat uns den Preis genannt.,Ametuambia bei.
1,D1.1-3a,Lass uns ihm das zeigen!,Tumwonyeshe hilo!
2,D1.1-3a,Das; was ich kaufte; ist gut.,Nilichonunua ni kizuri.
3,D1.1-3a,Hat das Zimmer Fenster?,Chumba kina madirisha?
4,D1.1-3a,Die Arbeit wurde schon gemacht.,Kazi imeshafanywa.
5,D1.1-3a,Wo ist die Straße?,Barabara ipo wapi?
1,D1.1-3b,Wo ist der Laden?,Duka lipo wapi?
2,D1.1-3b,Wie komme ich dorthin?,Nifike vipi huko?
3,D1.1-3b,Geh geradeaus!,Nenda moja kwa moja!
4,D1.1-3b,Warte hier!,Subiri hapa!
5,D1.1-3b,Wenn wir gehen; kommen wir schnell an.,Tukienda; tutafika haraka.
1,D1.1-4a,Wirst du das Auto fahren?,Utaendesha gari?
2,D1.1-4a,Wir werden zuerst kaufen; dann gehen.,Tutaanza kununua; halafu tutakwenda.
3,D1.1-4a,Er ist schon lange gegangen.,Ameenda kitambo.
4,D1.1-4a,Der Bus; der dorthin fährt; ist neu.,Basi linalokwenda huko ni jipya.
5,D1.1-4a,Das ist die Straße; die wir suchten.,Hii ni barabara tuliyoitafuta.
1,D1.1-4b,Wenn wir das machen; werden sie uns helfen.,Tukifanya hili; watatusaidia.
2,D1.1-4b,Wir sind zwanzig Personen.,Sisi ni watu ishirini.
3,D1.1-4b,Wir sollen ihn fragen; was er will.,Tumuulize anataka nini.
4,D1.1-4b,Wir sollen ihn nicht warten lassen.,Tusimsubirishe.
5,D1.1-4b,Ich wurde vom Lehrer gefragt.,Niliulizwa na mwalimu.
1,D1.1-5a,Das kostet achtzig Schilling.,Unagharimu shilingi themanini.
2,D1.1-5a,Ich brauche zehn Fische.,Ninahitaji samaki kumi.
3,D1.1-5a,Wir sind siebzig Leute.,Sisi ni watu sabini.
4,D1.1-5a,Er fährt zum Markt.,Anaendesha sokoni.
5,D1.1-5a,Weißt du; wie man dorthin geht?,Unajua kwenda huko?
1,D1.1-5b,Warte nicht hier; geh!,Usisubiri hapa; nenda!
2,D1.1-5b,Wenn das Brot gut ist; werde ich es kaufen.,Mkate ukiwa mzuri; nitanunua.
3,D1.1-5b,Das ist die Sache; die ich kaufte.,Hicho ni kitu nilichokinunua.
4,D1.1-5b,Er ließ die Leute reden.,Aliwaachia watu waongee.
5,D1.1-5b,Die Straße ist noch nicht gemacht worden.,Barabara haijatengenezwa.
1,D1.1-6a,Ist der Vater im Laden?,Baba yupo dukani?
2,D1.1-6a,Nein; er ist draußen.,Hapana; yupo nje.
3,D1.1-6a,Das Fahrrad; das er fährt; ist alt.,Baiskeli anayoendesha ni kuukuu.
4,D1.1-6a,Wir sollen jetzt gehen.,Tuende sasa!
5,D1.1-6a,Ich habe meine Arbeit beendet.,Nimemaliza kazi yangu.
1,D1.1-6b,Wenn wir zusammenarbeiten; ist es einfach.,Tukifanya kazi pamoja; ni rahisi.
2,D1.1-6b,Sie wollen dreißig Schilling.,Wanataka shilingi thelathini.
3,D1.1-6b,Das ist das Haus; das wir suchen.,Hii ni nyumba tunayoitafuta.
4,D1.1-6b,Ich werde ihn die Wahrheit sehen lassen.,Nitamwonyesha ukweli.
5,D1.1-6b,Gestern wurde hier Fisch verkauft.,Jana samaki waliuzwa hapa.
1,D1.1-7a,Fahr das Auto jetzt!,Endesha gari sasa!
2,D1.1-7a,Ich bin sehr glücklich (geworden).,Nimefurahi sana.
3,D1.1-7a,Das ist nicht fair/gerecht.,Hiyo si haki.
4,D1.1-7a,Die Frau; die das Brot verkauft; ist nett.,Mwanamke anayeuza mkate ni mzuri.
5,D1.1-7a,Wenn ich gehe; werde ich Brot kaufen.,Nikienda; nitanunua mkate.
1,D1.1-7b,Er soll jetzt ankommen.,Afike sasa. / Awasili sasa.
2,D1.1-7b,Wir haben einhundert Schilling.,Tuna shilingi mia.
3,D1.1-7b,Ich habe mein Geld verloren.,Nimepoteza pesa yangu.
4,D1.1-7b,Das ist das Auto; das gestohlen wurde.,Hili ni gari lililoibiwa.
5,D1.1-7b,Willst du das jetzt sofort kaufen?,Unataka kununua hili sasa hivi?
1,D1.1-8a,Warte nicht auf mich!,Usinisubiri!
2,D1.1-8a,Wir sollen ihn bezahlen.,Tumlipe.
3,D1.1-8a,Die Nacht ist hereingebrochen.,Usiku umeingia.
4,D1.1-8a,Ich sah es nicht.,Sikukiona.
5,D1.1-8a,Sie ließen ihn trinken.,Walimnywesha.
1,D1.1-8b,Es wird gesagt; dass es teuer ist.,Inasemwa kwamba ni ghali.
2,D1.1-8b,Der Bus kostet fünfhundert Schilling.,Basi linagharimu shilingi mia tano.
3,D1.1-8b,Du bist sehr nett.,Wewe ni mwema sana.
4,D1.1-8b,Nimm das Geld!,Chukua pesa!
5,D1.1-8b,Wir sind fertig; und wir gehen.,Tumemaliza na tunaenda.
1,D1.1-9a,Ich will Wasser.,Ninataka maji.
2,D1.1-9a,Wir brauchen das Brot.,Tunahitaji mkate.
3,D1.1-9a,Er liebt dich.,Anakupenda.
4,D1.1-9a,Ich brauche das nicht.,Sihitaji hilo.
5,D1.1-9a,Ich will drei Tische.,Ninataka meza tatu.
1,D1.1-9b,Ich liebe diese großen Augen.,Ninapenda macho haya makubwa.
2,D1.1-9b,Wir wollten gestern gehen.,Tulitaka kwenda jana.
3,D1.1-9b,Wir werden viel Wasser brauchen.,Tutahitaji maji mengi.
4,D1.1-9b,Ich liebte dieses Auto.,Nililipenda gari hili.
5,D1.1-9b,Wir wollen ihn sehen.,Tunataka kumwona.
1,D1.1-10a,Sie ist schon lange gegangen.,Ameenda kitambo.
2,D1.1-10a,Das Brot ist noch nicht gekauft worden.,Haujanunuliwa.
3,D1.1-10a,Gestern haben wir hier gearbeitet.,Tulifanya kazi hapa jana.
4,D1.1-10a,Ihr könnt uns jetzt nicht helfen.,Hamwezi kutusaidia sasa.
5,D1.1-10a,Das Wasser war kalt.,Maji yalikuwa baridi.
1,D1.1-10b,Lass uns jetzt essen!,Tule sasa!
2,D1.1-10b,Der Mann; der das sagte; ist reich.,Aliyesema ni tajiri.
3,D1.1-10b,Die Arbeit wird von uns gemacht.,Kazi inafanywa na sisi.
4,D1.1-10b,Wenn du kommst; werde ich kaufen.,Ukija; nitanunua.
5,D1.1-10b,Das Zimmer ist groß; nicht klein.,Chumba ni kikubwa; si kidogo.
