Kapitel,Nummer / ID,Titel / Thema
C1.1: Identität & Zustände,Neue Vokabeln A,Die Personen (Wer?)
C1.1: Identität & Zustände,Neue Vokabeln B,Soziale Interaktion (Was sagen wir?)
C1.1: Identität & Zustände,Neue Vokabeln C,Zustände (Wie ist es?)
C1.1: Identität & Zustände,Neue Vokabeln D,Eigenschaften von Menschen
C1.1: Identität & Zustände,Neue Vokabeln E,Gegenstände (Was?)
C1.1: Identität & Zustände,C1.1-2a,Identität (Pronomen)
C1.1: Identität & Zustände,C1.1-2b,Begrüßung & Höflichkeit
C1.1: Identität & Zustände,C1.1-2c,Zustand & Antworten
C1.1: Identität & Zustände,C1.1-3a,Übung – Grundzustände (Teil 1)
C1.1: Identität & Zustände,C1.1-3b,Übung – Grundzustände (Teil 2)
C1.1: Identität & Zustände,C1.1-3c,Übung – Personenbeschreibung (Teil 1)
C1.1: Identität & Zustände,C1.1-3d,Übung – Personenbeschreibung (Teil 2)
C1.1: Identität & Zustände,C1.1-3e,Übung – Wer ist das? (Extra)
C1.1: Identität & Zustände,C1.1-3f,Übung – Verneinung (Si)
C1.1: Identität & Zustände,C1.1-4,Übung – Fragen & Antworten
C1.1: Identität & Zustände,C1.1-5,Übung – Ortsangaben
C1.2: Handlungen in der Gegenwart,Neue Vokabeln A,Die Verben (Die Tätigkeit)
C1.2: Handlungen in der Gegenwart,Neue Vokabeln B,Die Orte (Das Ziel)
C1.2: Handlungen in der Gegenwart,Neue Vokabeln C,Dinge des Alltags (Das Objekt)
C1.2: Handlungen in der Gegenwart,Neue Vokabeln D,Grammatik-Bausteine
C1.2: Handlungen in der Gegenwart,Neue Vokabeln E,Personen & Berufe (Wer?)
C1.2: Handlungen in der Gegenwart,C1.2-2a,Übung – Einfache Sätze (Subjekt & Transport)
C1.2: Handlungen in der Gegenwart,C1.2-2b,Übung – Einfache Sätze (Arbeit & Alltag)
C1.2: Handlungen in der Gegenwart,C1.2-3a,Übung – Kaufen & Verkaufen
C1.2: Handlungen in der Gegenwart,C1.2-3b,Übung – Orte & Fragen
C1.2: Handlungen in der Gegenwart,C1.2-4a,Übung – Reden & Geben
C1.2: Handlungen in der Gegenwart,C1.2-4b,Übung – Interaktionen
C1.2: Handlungen in der Gegenwart,C1.2-5a,Übung – Wissen & Können
C1.2: Handlungen in der Gegenwart,C1.2-5b,Übung – Wünsche
C1.2: Handlungen in der Gegenwart,C1.2-6,Übung – Komplexe Sätze
C1.2: Handlungen in der Gegenwart,C1.2-7,Übung – Verneinung
C1.2: Handlungen in der Gegenwart,C1.2-8,Übung – Richtungen
C1.3: Ort & Kontext,Neue Vokabeln,"Neue Vokabeln (Hapa, Pale, Wapi...)"
C1.3: Ort & Kontext,C1.3-2a,Übung – Handlungen an Orten
C1.3: Ort & Kontext,C1.3-2b,Übung – Ort & Sein
C1.3: Ort & Kontext,C1.3-3a,Übung – Vergleiche
C1.3: Ort & Kontext,C1.3-3b,Übung – Zustände
C1.3: Ort & Kontext,C1.3-4a,Übung – Aber & Und (Teil 1)
C1.3: Ort & Kontext,C1.3-4b,Übung – Aber & Und (Teil 2)
C1.3: Ort & Kontext,C1.3-5a,Übung – Jetzt gerade (Teil 1)
C1.3: Ort & Kontext,C1.3-5b,Übung – Jetzt gerade (Teil 2)
C1.3: Ort & Kontext,C1.3-6a,Übung – Dialoge (Begrüßung)
C1.3: Ort & Kontext,C1.3-6b,Übung – Dialoge (Kauf & Frage)
C1.3: Ort & Kontext,C1.3-7a,Übung – Gemischte Wiederholung (Personen)
C1.3: Ort & Kontext,C1.3-7b,Übung – Gemischte Wiederholung (Orte & Kontraste)
C1.3: Ort & Kontext,C1.3-8a,Übung – Satzbau-Profis (Teil 1)
C1.3: Ort & Kontext,C1.3-8b,Übung – Satzbau-Profis (Teil 2)
C1.3: Ort & Kontext,C1.3-Integration,Wünsche & Bedürfnisse
"C2.1: Der Plural (Wir, Ihr, Sie)",Neue Vokabeln A,Pronomen & Präfixe
"C2.1: Der Plural (Wir, Ihr, Sie)",Neue Vokabeln B,Gruppen-Aktivitäten (Verben)
"C2.1: Der Plural (Wir, Ihr, Sie)",Neue Vokabeln C,Objekte (Essen)
"C2.1: Der Plural (Wir, Ihr, Sie)",Neue Vokabeln D,Orte (Lokativ)
"C2.1: Der Plural (Wir, Ihr, Sie)",C2.1-2a,Fokus auf Wir (Tu-)
"C2.1: Der Plural (Wir, Ihr, Sie)",C2.1-2b,Fokus auf Ihr (M-)
"C2.1: Der Plural (Wir, Ihr, Sie)",C2.1-2c,Fokus auf Sie (Wa-)
"C2.1: Der Plural (Wir, Ihr, Sie)",C2.1-3a,Mit Objekten (Was?)
"C2.1: Der Plural (Wir, Ihr, Sie)",C2.1-3b,Mit Adverbien & Orten (Wie & Wo?)
"C2.1: Der Plural (Wir, Ihr, Sie)",C2.1-4a,Fragen (Wer & Was?)
"C2.1: Der Plural (Wir, Ihr, Sie)",C2.1-4b,"Die Verneinung (Hatu-, Ham-, Hawa-)"
"C2.1: Der Plural (Wir, Ihr, Sie)",C2.1-5a,Verbindungen (und/aber/dass)
"C2.1: Der Plural (Wir, Ihr, Sie)",C2.1-5b,Adjektive & Zustände (Wir sind...)
"C2.1: Der Plural (Wir, Ihr, Sie)",C2.1-5c,Orte & Aktionen
"C2.1: Der Plural (Wir, Ihr, Sie)",C2.1-6,Übung – Mix & Match
"C2.1: Der Plural (Wir, Ihr, Sie)",C2.1-7,Übung – Integration & Objekt-Präfixe
C2.2: Besitz und Familie,Neue Vokabeln A,Die Familie (Personen)
C2.2: Besitz und Familie,Neue Vokabeln B,Besitzanzeiger (Wem gehört es?)
C2.2: Besitz und Familie,C2.2-2,Übung – Einfache Besitzanzeiger
C2.2: Besitz und Familie,C2.2-3,Übung – Orte des Besitzes
C2.2: Besitz und Familie,C2.2-4,Übung – Menschen identifizieren
C2.2: Besitz und Familie,C2.2-5,Übung – Familie in Aktion
C2.2: Besitz und Familie,C2.2-6,Übung – Wen sehen wir?
C2.2: Besitz und Familie,C2.2-7,Übung – Mix & Match
C2.2: Besitz und Familie,C2.2-8,Übung – Fortgeschrittene Wünsche
C2.3: Nomenklassen & Objekte,Neue Vokabeln A,Ji/Ma-Klasse (Veränderlich)
C2.3: Nomenklassen & Objekte,Neue Vokabeln B,N-Klasse (Unveränderlich im Plural)
C2.3: Nomenklassen & Objekte,Neue Vokabeln C,Adjektive & Zustände
